region_label,model_name,n_test,base_rate,precision_score_default,recall_score_default,f1_score_default,roc_auc_default,pr_auc_default,precision_score_best_f1,recall_score_best_f1,f1_score_best_f1,roc_auc_best_f1,pr_auc_best_f1
California (USA),LR,1463,0.041695146958304855,0.05263157894736842,0.5081967213114754,0.09538461538461539,0.5950632585767405,0.052060718865860285,0.047619047619047616,0.01639344262295082,0.024390243902439025,0.5950632585767405,0.052060718865860285
California (USA),RF,1463,0.041695146958304855,0.0,0.0,0.0,0.6420336287738828,0.14668440803859817,0.23333333333333334,0.11475409836065574,0.15384615384615385,0.6420336287738828,0.14668440803859817
California (USA),XGB,1463,0.041695146958304855,0.19117647058823528,0.21311475409836064,0.20155038759689922,0.6878580949931011,0.1245938549128976,0.2857142857142857,0.09836065573770492,0.14634146341463414,0.6878580949931011,0.1245938549128976
Portugal,LR,1368,0.017543859649122806,0.01179245283018868,0.20833333333333334,0.022321428571428572,0.47591145833333337,0.016147642403977105,0.0,0.0,0.0,0.47591145833333337,0.016147642403977105
Portugal,RF,1368,0.017543859649122806,0.0,0.0,0.0,0.6720455109126984,0.03129363393673007,0.0,0.0,0.0,0.6720455109126984,0.03129363393673007
Portugal,XGB,1368,0.017543859649122806,0.022222222222222223,0.041666666666666664,0.028985507246376812,0.5689484126984128,0.02495845007300378,0.0,0.0,0.0,0.5689484126984128,0.02495845007300378
Southeast Australia,LR,1311,0.009153318077803204,0.0,0.0,0.0,0.630484988452656,0.012566012268602083,0.0,0.0,0.0,0.630484988452656,0.012566012268602083
Southeast Australia,RF,1311,0.009153318077803204,0.0,0.0,0.0,0.6276943802925327,0.025042740650420763,0.0,0.0,0.0,0.6276943802925327,0.025042740650420763
Southeast Australia,XGB,1311,0.009153318077803204,0.0,0.0,0.0,0.45175776238131893,0.014897561035775223,0.0,0.0,0.0,0.45175776238131893,0.014897561035775223
