dataset,pr_auc,roc_auc,threshold,precision_score,recall_score,f1_score,f1_score_best_f1,threshold_best_f1
NDVI Only,0.061307166294146245,0.6682349343086157,0.5,0.04722222222222222,0.17525773195876287,0.07439824945295405,0.0196078431372549,0.88
Weather Only,0.033707464186315365,0.6222420450345979,0.5,0.037209302325581395,0.08247422680412371,0.05128205128205128,0.055944055944055944,0.44
Topography Only,0.06182315322861342,0.6118512099703082,0.5,0.07109004739336493,0.15463917525773196,0.09740259740259741,0.05263157894736842,0.9400000000000001
Combined,0.07399315280463963,0.6509092299262167,0.5,0.112,0.14432989690721648,0.12612612612612611,0.10084033613445378,0.8300000000000001
